id,dep_delayed_15min
0,0.04008896755388349
1,0.0575031451751329
2,0.04245736514889992
3,0.2733598903535537
4,0.21325246231685552
5,0.1121630494497091
6,0.053625108386227166
7,0.15611998066320337
8,0.17105971949354623
9,0.28834426189564616
10,0.3706849092388272
11,0.23501207514227204
12,0.14450027997828316
13,0.23261549011022278
14,0.06364892167619574
15,0.29796338491935925
16,0.06335442008818887
17,0.32552729541014397
18,0.443095023299656
19,0.024237846576624207
20,0.16136932216870747
21,0.05258831509289933
22,0.37016259888219594
23,0.11746600139089981
24,0.30513709700973185
25,0.22164376522210966
26,0.011815259050702622
27,0.0354552053465983
28,0.21330086119157246
29,0.1395390934092403
30,0.18891724527354212
31,0.32320663601341837
32,0.05310328795342968
33,0.2926777505584293
34,0.5433811472551614
35,0.274317075733784
36,0.18935583742032247
37,0.11969965463924166
38,0.0818952814974586
39,0.16554854700429178
40,0.10471427049721929
41,0.14122551904811945
42,0.1716261182225889
43,0.2958035278220347
44,0.1481239361802383
45,0.3855987108950877
46,0.006686638423708075
47,0.187038051891221
48,0.7001169588749625
49,0.06394387507603591
50,0.3904438035299933
51,0.030037711110074576
52,0.18246514495497487
53,0.2820226236810957
54,0.31257019485411663
55,0.10958678645097236
56,0.193427424299827
57,0.25997632406875104
58,0.09386896433621095
59,0.18814074244136644
60,0.18057818528639633
61,0.09990014559628181
62,0.160639650765293
63,0.2618491651398966
64,0.21112818161710717
65,0.14777436835923105
66,0.028206130978639724
67,0.12684955158206324
68,0.10284591999300055
69,0.3222466297949264
70,0.016902200254171326
71,0.15232333927451253
72,0.3079049797853123
73,0.30065542900170406
74,0.6993805006909579
75,0.2675587189231305
76,0.06247878210325314
77,0.16392750001806133
78,0.07824989476365166
79,0.14708352443321676
80,0.12830917768987524
81,0.18693959924231165
82,0.09054119315998574
83,0.15020822413669674
84,0.14415911139795354
85,0.01952534780161688
86,0.06645350348889653
87,0.18963703936437418
88,0.32698416935437563
89,0.22307425169118242
90,0.16466112504579328
91,0.29849303847181446
92,0.1276301531536012
93,0.12060134345172836
